Youth,Label,Date,Filename,Status
RowanLee,GT,2024-06-03,RowanLee GT 2024-06-03.docx,valid
RowanLee,GT,2024-06-11,RowanLee GT 2024-06-11.docx,valid
RowanLee,GT,2024-06-06,RowanLee GT 2024-06-06.docx,valid
RowanLee,GT,2024-06-18,RowanLee GT 2024-06-18.docx,valid
RowanLee,GT,2024-06-16,RowanLee GT 2024-06-16.docx,valid
RowanLee,GT,2024-06-22,RowanLee GT 2024-06-22.docx,valid
RowanLee,GT,2024-06-24,RowanLee GT 2024-06-24.docx,valid
RowanLee,GT,2024-07-03,RowanLee GT 2024-07-03.docx,valid
RowanLee,GT,2024-07-02,RowanLee GT 2024-07-02.docx,valid
RowanLee,GT,2024-07-07,RowanLee GT 2024-07-07.docx,valid
RowanLee,GT,2024-07-05,RowanLee GT 2024-07-05.docx,valid
RowanLee,GT,2024-07-17,RowanLee GT 2024-07-17.docx,valid
RowanLee,GT,2024-07-15,RowanLee GT 2024-07-15.docx,valid
RowanLee,GT,2024-07-20,RowanLee GT 2024-07-20.docx,valid
RowanLee,GT,2024-07-19,RowanLee GT 2024-07-19.docx,valid
RowanLee,GT,2024-07-27,RowanLee GT 2024-07-27.docx,valid
RowanLee,GT,2024-07-28,RowanLee GT 2024-07-28.docx,valid
RowanLee,GT,2024-08-02,RowanLee GT 2024-08-02.docx,valid
RowanLee,GT,2024-08-07,RowanLee GT 2024-08-07.docx,valid
RowanLee,GT,2024-08-10,,skipped
RowanLee,GT,2024-08-14,RowanLee GT 2024-08-14.docx,valid
RowanLee,GT,2024-08-18,RowanLee GT 2024-08-18.docx,valid
RowanLee,GT,2024-08-15,RowanLee GT 2024-08-15.docx,valid
RowanLee,GT,2024-08-27,RowanLee GT 2024-08-27.docx,valid
RowanLee,GT,2024-08-28,RowanLee GT 2024-08-28.docx,valid
RowanLee,GT,2024-09-03,RowanLee GT 2024-09-03.docx,valid
RowanLee,GT,2024-08-30,RowanLee GT 2024-08-30.docx,valid
RowanLee,GT,2024-09-09,RowanLee GT 2024-09-09.docx,valid
RowanLee,GT,2024-09-06,RowanLee GT 2024-09-06.docx,valid
RowanLee,GT,2024-09-14,RowanLee GT 2024-09-14.docx,valid
RowanLee,GT,2024-09-18,RowanLee GT 2024-09-18.docx,valid
RowanLee,GT,2024-09-19,RowanLee GT 2024-09-19.docx,valid
RowanLee,GT,2024-09-23,RowanLee GT 2024-09-23.docx,valid
RowanLee,GT,2024-09-27,RowanLee GT 2024-09-27.pdf,misnamed
RowanLee,GT,2024-09-30,,skipped
RowanLee,GT,2024-10-09,RowanLee GT 2024-10-09.docx,valid
RowanLee,GT,2024-10-03,RowanLee GT 2024-10-03.docx,valid
RowanLee,GT,2024-10-16,RowanLee GT 2024-10-16.docx,valid
RowanLee,GT,2024-10-13,RowanLee GT 2024-10-13.docx,valid
RowanLee,GT,2024-10-18,RowanLee GT 2024-10-18.docx,valid
RowanLee,GT,2024-10-22,RowanLee GT 2024-10-22.docx,valid
RowanLee,GT,2024-10-26,,skipped
RowanLee,GT,2024-10-29,RowanLee GT 2024-10-29.docx,valid
RowanLee,GT,2024-11-03,RowanLee GT 2024-11-03.pdf,misnamed
RowanLee,GT,2024-11-02,RowanLee GT 2024-11-02.docx,valid
RowanLee,GT,2024-11-13,RowanLee GT 2024-11-13.docx,valid
RowanLee,GT,2024-11-11,RowanLee GT 2024-11-11.docx,valid
RowanLee,GT,2024-11-15,RowanLee GT 2024-11-15.docx,valid
RowanLee,GT,2024-11-17,RowanLee GT 2024-11-17.docx,valid
RowanLee,GT,2024-11-25,RowanLee GT 2024-11-25.docx,valid
RowanLee,GT,2024-11-27,RowanLee GT 2024-11-27.pdf,misnamed
RowanLee,GT,2024-11-30,RowanLee GT 2024-11-30.docx,valid
RowanLee,GT,2024-11-29,,skipped
RowanLee,GT,2024-12-09,RowanLee GT 2024-12-09.docx,valid
RowanLee,GT,2024-12-05,RowanLee GT 2024-12-05.docx,valid
RowanLee,GT,2024-12-13,RowanLee GT 2024-12-13.docx,valid
RowanLee,GT,2024-12-17,RowanLee GT 2024-12-17.docx,valid
RowanLee,GT,2024-12-25,RowanLee GT 2024-12-25.docx,valid
RowanLee,GT,2024-12-20,RowanLee GT 2024-12-20.docx,valid
RowanLee,GT,2024-12-30,RowanLee GT 2024-12-30.docx,valid
RowanLee,GT,2024-12-26,RowanLee GT 2024-12-26.docx,valid
CaseyBrown,GT,2024-03-02,CaseyBrown GT 2024-03-02.docx,valid
CaseyBrown,GT,2024-02-26,CaseyBrown GT 2024-02-26.docx,valid
CaseyBrown,GT,2024-02-29,CaseyBrown GT 2024-02-29.docx,valid
CaseyBrown,GT,2024-03-08,CaseyBrown GT 2024-03-08.docx,valid
CaseyBrown,GT,2024-03-05,CaseyBrown GT 2024-03-05.docx,valid
CaseyBrown,GT,2024-03-04,CaseyBrown GT 2024-03-04.docx,valid
CaseyBrown,GT,2024-03-14,CaseyBrown GT 2024-03-14.docx,valid
CaseyBrown,GT,2024-03-15,CaseyBrown GT 2024-03-15.docx,valid
CaseyBrown,GT,2024-03-13,CaseyBrown GT 2024-03-13.docx,valid
CaseyBrown,GT,2024-03-21,CaseyBrown GT 2024-03-21.docx,valid
CaseyBrown,GT,2024-03-17,CaseyBrown GT 2024-03-17.docx,valid
CaseyBrown,GT,2024-03-20,CaseyBrown GT 2024-03-20.docx,valid
CaseyBrown,GT,2024-03-30,CaseyBrown GT 2024-03-30.docx,valid
CaseyBrown,GT,2024-03-28,,skipped
CaseyBrown,GT,2024-03-25,CaseyBrown GT 2024-03-25.docx,valid
CaseyBrown,GT,2024-04-04,CaseyBrown GT 2024-04-04.docx,valid
CaseyBrown,GT,2024-04-01,CaseyBrown GT 2024-04-01.docx,valid
CaseyBrown,GT,2024-03-31,CaseyBrown GT 2024-03-31.docx,valid
CaseyBrown,GT,2024-04-08,CaseyBrown GT 2024-04-08.docx,valid
CaseyBrown,GT,2024-04-07,CaseyBrown GT 2024-04-07.docx,valid
CaseyBrown,GT,2024-04-12,CaseyBrown GT 2024-04-12.docx,valid
CaseyBrown,GT,2024-04-15,CaseyBrown GT 2024-04-15.docx,valid
CaseyBrown,GT,2024-04-16,CaseyBrown GT 2024-04-16.docx,valid
CaseyBrown,GT,2024-04-18,CaseyBrown GT 2024-04-18.docx,valid
CaseyBrown,GT,2024-04-23,CaseyBrown GT 2024-04-23.docx,valid
CaseyBrown,GT,2024-04-25,CaseyBrown GT 2024-04-25.docx,valid
CaseyBrown,GT,2024-04-27,CaseyBrown GT 2024-04-27.docx,valid
CaseyBrown,GT,2024-04-28,CaseyBrown GT 2024-04-28.docx,valid
CaseyBrown,GT,2024-05-02,CaseyBrown GT 2024-05-02.docx,valid
CaseyBrown,GT,2024-04-29,CaseyBrown GT 2024-04-29.docx,valid
CaseyBrown,GT,2024-05-11,CaseyBrown GT 2024-05-11.docx,valid
CaseyBrown,GT,2024-05-07,CaseyBrown GT 2024-05-07.docx,valid
CaseyBrown,GT,2024-05-08,CaseyBrown GT 2024-05-08.docx,valid
CaseyBrown,GT,2024-05-12,CaseyBrown GT 2024-05-12.docx,valid
CaseyBrown,GT,2024-05-16,CaseyBrown GT 2024-05-16.docx,valid
CaseyBrown,GT,2024-05-14,CaseyBrown GT 2024-05-14.docx,valid
CaseyBrown,GT,2024-05-24,CaseyBrown GT 2024-05-24.docx,valid
CaseyBrown,GT,2024-05-22,CaseyBrown GT 2024-05-22.docx,valid
CaseyBrown,GT,2024-05-23,CaseyBrown GT 2024-05-23.docx,valid
CaseyBrown,GT,2024-05-30,CaseyBrown GT 2024-05-30.docx,valid
CaseyBrown,GT,2024-06-01,CaseyBrown GT 2024-06-01.docx,valid
CaseyBrown,GT,2024-05-28,CaseyBrown GT 2024-05-28.docx,valid
CaseyBrown,GT,2024-06-08,CaseyBrown GT 2024-06-08.docx,valid
CaseyBrown,GT,2024-06-04,CaseyBrown GT 2024-06-04.docx,valid
CaseyBrown,GT,2024-06-03,CaseyBrown GT 2024-06-03.docx,valid
CaseyBrown,GT,2024-06-11,CaseyBrown GT 2024-06-11.docx,valid
CaseyBrown,GT,2024-06-09,CaseyBrown GT 2024-06-09.docx,valid
CaseyBrown,GT,2024-06-15,CaseyBrown GT 2024-06-15.docx,valid
CaseyBrown,GT,2024-06-18,CaseyBrown GT 2024-06-18.docx,valid
CaseyBrown,GT,2024-06-17,CaseyBrown GT 2024-06-17.docx,valid
CaseyBrown,GT,2024-06-21,CaseyBrown GT 2024-06-21.docx,valid
CaseyBrown,GT,2024-06-23,CaseyBrown GT 2024-06-23.docx,valid
CaseyBrown,GT,2024-06-29,CaseyBrown GT 2024-06-29.docx,valid
CaseyBrown,GT,2024-06-25,CaseyBrown GT 2024-06-25.docx,valid
CaseyBrown,GT,2024-06-30,CaseyBrown GT 2024-06-30.docx,valid
CaseyBrown,GT,2024-07-06,CaseyBrown GT 2024-07-06.docx,valid
CaseyBrown,GT,2024-07-02,CaseyBrown GT 2024-07-02.docx,valid
CaseyBrown,GT,2024-07-10,CaseyBrown GT 2024-07-10.docx,valid
CaseyBrown,GT,2024-07-07,CaseyBrown GT 2024-07-07.docx,valid
CaseyBrown,GT,2024-07-08,CaseyBrown GT 2024-07-08.docx,valid
CaseyBrown,GT,2024-07-16,CaseyBrown GT 2024-07-16.docx,valid
CaseyBrown,GT,2024-07-15,CaseyBrown GT 2024-07-15.docx,valid
CaseyBrown,GT,2024-07-20,CaseyBrown GT 2024-07-20.docx,valid
CaseyBrown,GT,2024-07-27,CaseyBrown GT 2024-07-27.docx,valid
CaseyBrown,GT,2024-07-22,CaseyBrown GT 2024-07-22.docx,valid
CaseyBrown,GT,2024-07-24,CaseyBrown GT 2024-07-24.docx,valid
CaseyBrown,GT,2024-08-03,CaseyBrown GT 2024-08-03.docx,valid
CaseyBrown,GT,2024-07-28,CaseyBrown GT 2024-07-28.docx,valid
CaseyBrown,GT,2024-07-31,CaseyBrown GT 2024-07-31.docx,valid
CaseyBrown,GT,2024-08-05,CaseyBrown GT 2024-08-05.docx,valid
CaseyBrown,GT,2024-08-07,CaseyBrown GT 2024-08-07.docx,valid
CaseyBrown,GT,2024-08-10,CaseyBrown GT 2024-08-10.docx,valid
CaseyBrown,GT,2024-08-14,CaseyBrown GT 2024-08-14.docx,valid
CaseyBrown,GT,2024-08-15,CaseyBrown GT 2024-08-15.docx,valid
CaseyBrown,GT,2024-08-17,CaseyBrown GT 2024-08-17.pdf,misnamed
CaseyBrown,GT,2024-08-19,CaseyBrown GT 2024-08-19.docx,valid
CaseyBrown,GT,2024-08-18,CaseyBrown GT 2024-08-18.docx,valid
CaseyBrown,GT,2024-08-22,CaseyBrown GT 2024-08-22.docx,valid
CaseyBrown,GT,2024-08-30,CaseyBrown GT 2024-08-30.docx,valid
CaseyBrown,GT,2024-08-31,CaseyBrown GT 2024-08-31.docx,valid
CaseyBrown,GT,2024-08-26,CaseyBrown GT 2024-08-26.docx,valid
CaseyBrown,GT,2024-09-06,CaseyBrown GT 2024-09-06.docx,valid
CaseyBrown,GT,2024-09-05,CaseyBrown GT 2024-09-05.docx,valid
CaseyBrown,GT,2024-09-03,CaseyBrown GT 2024-09-03.docx,valid
CaseyBrown,GT,2024-09-14,CaseyBrown GT 2024-09-14.docx,valid
CaseyBrown,GT,2024-09-11,CaseyBrown GT 2024-09-11.docx,valid
CaseyBrown,GT,2024-09-10,CaseyBrown GT 2024-09-10.docx,valid
CaseyBrown,GT,2024-09-21,CaseyBrown GT 2024-09-21.docx,valid
CaseyBrown,GT,2024-09-16,CaseyBrown GT 2024-09-16.docx,valid
CaseyBrown,GT,2024-09-20,CaseyBrown GT 2024-09-20.docx,valid
CaseyBrown,GT,2024-09-22,CaseyBrown GT 2024-09-22.docx,valid
CaseyBrown,GT,2024-09-27,,skipped
CaseyBrown,GT,2024-09-28,CaseyBrown GT 2024-09-28.docx,valid
CaseyBrown,GT,2024-10-02,CaseyBrown GT 2024-10-02.docx,valid
CaseyBrown,GT,2024-10-04,CaseyBrown GT 2024-10-04.docx,valid
CaseyBrown,GT,2024-10-03,CaseyBrown GT 2024-10-03.docx,valid
CaseyBrown,GT,2024-10-08,CaseyBrown GT 2024-10-08.docx,valid
CaseyBrown,GT,2024-10-10,CaseyBrown GT 2024-10-10.docx,valid
CaseyBrown,GT,2024-10-07,CaseyBrown GT 2024-10-07.docx,valid
CaseyBrown,GT,2024-10-17,CaseyBrown GT 2024-10-17.docx,valid
CaseyBrown,GT,2024-10-13,CaseyBrown GT 2024-10-13.docx,valid
CaseyBrown,GT,2024-10-18,CaseyBrown GT 2024-10-18.docx,valid
CaseyBrown,GT,2024-10-20,CaseyBrown GT 2024-10-20.docx,valid
CaseyBrown,GT,2024-10-26,CaseyBrown GT 2024-10-26.docx,valid
CaseyBrown,GT,2024-10-23,CaseyBrown GT 2024-10-23.docx,valid
CaseyBrown,GT,2024-10-29,CaseyBrown GT 2024-10-29.docx,valid
CaseyBrown,GT,2024-11-01,CaseyBrown GT 2024-11-01.docx,valid
CaseyBrown,GT,2024-10-27,CaseyBrown GT 2024-10-27.docx,valid
CaseyBrown,GT,2024-11-03,CaseyBrown GT 2024-11-03.docx,valid
CaseyBrown,GT,2024-11-06,CaseyBrown GT 2024-11-06.docx,valid
CaseyBrown,GT,2024-11-04,GT CaseyBrown 2024-11-04.docx,misnamed
CaseyBrown,GT,2024-11-16,GT CaseyBrown 2024-11-16.docx,misnamed
CaseyBrown,GT,2024-11-11,CaseyBrown GT 2024-11-11.docx,valid
CaseyBrown,GT,2024-11-12,CaseyBrown GT 2024-11-12.docx,valid
CaseyBrown,GT,2024-11-20,CaseyBrown GT 2024-11-20.docx,valid
CaseyBrown,GT,2024-11-22,CaseyBrown GT 2024-11-22.docx,valid
CaseyBrown,GT,2024-11-19,CaseyBrown GT 2024-11-19.docx,valid
CaseyBrown,GT,2024-11-29,CaseyBrown GT 2024-11-29.docx,valid
CaseyBrown,GT,2024-11-27,CaseyBrown GT 2024-11-27.docx,valid
CaseyBrown,GT,2024-11-30,CaseyBrown GT 2024-11-30.docx,valid
CaseyBrown,GT,2024-12-01,CaseyBrown GT 2024-12-01.docx,valid
CaseyBrown,GT,2024-12-03,CaseyBrown GT 2024-12-03.docx,valid
CaseyBrown,GT,2024-12-06,CaseyBrown GT 2024-12-06.docx,valid
CaseyBrown,GT,2024-12-11,CaseyBrown GT 2024-12-11.docx,valid
CaseyBrown,GT,2024-12-10,CaseyBrown GT 2024-12-10.docx,valid
CaseyBrown,GT,2024-12-09,CaseyBrown GT 2024-12-09.docx,valid
CaseyBrown,GT,2024-12-15,CaseyBrown GT 2024-12-15.docx,valid
CaseyBrown,GT,2024-12-18,CaseyBrown GT 2024-12-18.docx,valid
CaseyBrown,GT,2024-12-19,CaseyBrown GT 2024-12-19.docx,valid
CaseyBrown,GT,2024-12-24,CaseyBrown GT 2024-12-24.pdf,misnamed
CaseyBrown,GT,2024-12-23,CaseyBrown GT 2024-12-23.docx,valid
CaseyBrown,GT,2024-12-27,CaseyBrown GT 2024-12-27.docx,valid
CaseyBrown,GT,2025-01-01,CaseyBrown GT 2025-01-01.docx,valid
CaseyBrown,GT,2024-12-31,CaseyBrown GT 2024-12-31.docx,valid
CaseyBrown,GT,2024-12-30,CaseyBrown GT 2024-12-30.docx,valid
AlexJohnson,GT,2024-01-14,AlexJohnson GT 2024-01-14.docx,valid
AlexJohnson,GT,2024-01-12,AlexJohnson GT 2024-01-12.docx,valid
AlexJohnson,GT,2024-01-24,AlexJohnson GT 2024-01-24.docx,valid
AlexJohnson,GT,2024-01-23,AlexJohnson GT 2024-01-23.docx,valid
AlexJohnson,GT,2024-01-30,AlexJohnson GT 2024-01-30.docx,valid
AlexJohnson,GT,2024-01-31,,skipped
AlexJohnson,GT,2024-02-02,AlexJohnson GT 2024-02-02.docx,valid
AlexJohnson,GT,2024-02-04,AlexJohnson GT 2024-02-04.docx,valid
AlexJohnson,GT,2024-02-12,AlexJohnson GT 2024-02-12.docx,valid
AlexJohnson,GT,2024-02-09,AlexJohnson GT 2024-02-09.docx,valid
AlexJohnson,GT,2024-02-21,AlexJohnson GT 2024-02-21.docx,valid
AlexJohnson,GT,2024-02-20,AlexJohnson GT 2024-02-20.docx,valid
AlexJohnson,GT,2024-02-23,AlexJohnson GT 2024-02-23.docx,valid
AlexJohnson,GT,2024-02-27,AlexJohnson GT 2024-02-27.docx,valid
AlexJohnson,GT,2024-03-06,AlexJohnson GT 2024-03-06.docx,valid
AlexJohnson,GT,2024-03-04,AlexJohnson GT 2024-03-04.docx,valid
AlexJohnson,GT,2024-03-12,AlexJohnson GT 2024-03-12.docx,valid
AlexJohnson,GT,2024-03-11,AlexJohnson GT 2024-03-11.docx,valid
AlexJohnson,GT,2024-03-15,AlexJohnson GT 2024-03-15.docx,valid
AlexJohnson,GT,2024-03-19,AlexJohnsonGT2024-03-19.docx,misnamed
AlexJohnson,GT,2024-03-24,AlexJohnson GT 2024-03-24.docx,valid
AlexJohnson,GT,2024-03-28,AlexJohnson GT 2024-03-28.docx,valid
AlexJohnson,GT,2024-04-02,AlexJohnson GT 2024-04-02.docx,valid
AlexJohnson,GT,2024-03-29,AlexJohnson GT 2024-03-29.docx,valid
AlexJohnson,GT,2024-04-11,AlexJohnson GT 2024-04-11.docx,valid
AlexJohnson,GT,2024-04-05,AlexJohnson GT 2024-04-05.docx,valid
AlexJohnson,GT,2024-04-18,AlexJohnson GT 2024-04-18.docx,valid
AlexJohnson,GT,2024-04-12,AlexJohnson GT 2024-04-12.docx,valid
